"DATA_ATUALIZACAO";"CNPJ";"SIGLA_AGENTE";"URL_FATOR_ALAVANCAGEM"
"17/11/2023";"42745743000130";VENTOS DE SANTA AUREA;https://casadosventos.com.br/monitoramento-prudencial
"17/11/2023";"35859013000103";VENTOS DE SAO JULIO I;https://casadosventos.com.br/monitoramento-prudencial
"19/11/2024";"12108854000175";EOLICA ICARAI;https://www.aurenenergia.com.br/
"17/11/2023";"22845499000170";PCH CABIXI;https://app.powerbi.com/view?r=eyJrIjoiNjNmMTI4ZmEtOGRjOS00YzhkLWI5ZDYtN2RmMjJhMmEyZmI2IiwidCI6IjcxZTE0OTYwLWRkMzEtNDQ2NS1iMmYyLTU2YWJhZGZiMTAwOCJ9
"09/02/2024";"12723444000134";OLHODAGUA;https://copelmercadolivre.com/monitoramento-prudencial/
"17/11/2023";"40077641000169";UPI SAO LUIZ COGEN;https://www.saoluizbioenergia.com.br/
"08/12/2023";"42078608000189";PANATI 6;https://www.spicbrasil.com.br/mercado-livre-de-energia/
"19/11/2024";"12041341000194";UEE BORGO;https://www.aurenenergia.com.br/
"17/11/2023";"42538261000100";VENTOS DE SAO MARIANO;https://casadosventos.com.br/monitoramento-prudencial
"22/11/2024";"29552939000140";EGP SANTA ANGELA 20;https://enelcomercializadora.com.br/pt/quem-somos
"22/11/2023";"09528781000166";CGH BURITIRANA;https://zxenergia.com.br/
"12/01/2024";"31232196000173";BOQUEIRAO II;https://www.statkraft.com.br/relacoes-com-investidores/servicos-aos-investidores/fator-de-alavancagem/
"22/11/2024";"31596769000148";EGP VENTOS SAO ROQUE 22 I5;https://enelcomercializadora.com.br/pt/quem-somos
"17/11/2023";"30567603000130";ALEX V;https://www.elera.com/transparencia/
"22/11/2024";"36051524000159";EGP VENTOS SAO ROQUE 07;https://enelcomercializadora.com.br/pt/quem-somos
"17/11/2023";"21642355000154";ARGON;http://argonenergias.com.br/
"17/11/2023";"22548637000150";CHAFARIZ 2;https://www.neoenergia.com/web/produtos-e-solucoes/fator-de-alavancagem
"22/11/2024";"31596016000132";EGP VENTOS SAO ROQUE 18;https://enelcomercializadora.com.br/pt/quem-somos
"22/11/2023";"01703119000193";ALFAGRES I5 2;https://www.alfagres.com.br/
"16/09/2025";"31864869000299";BPENERGIA COM;https://www.bp.com/pt_br/brazil/home/produtos-e-servicos/bpce.html
"21/11/2023";"17112981000161";SIMPLE;https://simpleenergy.com.br/fator-de-alavancagem/
"17/11/2023";"11371340000145";UEE CONCEICAO;https://www.elera.com/transparencia/
"16/11/2023";"09665392000182";CPFL COSTA BRANCA;https://www.grupocpfl.com.br/unidades-de-negocios/fator-alavancagem
"17/11/2023";"07393256000155";DIFERENCIAL;https://diferencialenergia.com.br
"21/11/2023";"00338678000189";VITORIA STONE SA;https://vitoriastone.com/en-us/home
"16/11/2023";"11083857000139";CPFL MATA VELHA;https://www.grupocpfl.com.br/unidades-de-negocios/fator-alavancagem
"22/11/2024";"23399589000148";HORIZONTE MP;https://enelcomercializadora.com.br/pt/quem-somos
"09/02/2024";"29433969000138";SRMN III;https://copelmercadolivre.com/monitoramento-prudencial/
"20/11/2023";"04591168000170";FOZ DO CHAPECO;http://www.fozdochapeco.com.br/usina/
"17/11/2023";"37381300000178";JANAUBA XI;https://www.elera.com/transparencia/
"12/01/2024";"35636507000110";OSLO III;https://www.statkraft.com.br/relacoes-com-investidores/servicos-aos-investidores/fator-de-alavancagem/
"17/11/2023";"36328479000137";CEAM;https://www.altamogiana.com.br/
"09/02/2024";"21216877000194";EOL SAO BENTO DO NORTE II;https://copelmercadolivre.com/monitoramento-prudencial/
"22/08/2025";"47027303000161";ITA II I5;https://www.edp.com/pt-br/america-do-sul/brasil/o-que-fazemos/geracao-energia/fator-de-alavancagem
"16/11/2023";"09079069000127";CPFL VARZEA ALEGRE;https://www.grupocpfl.com.br/unidades-de-negocios/fator-alavancagem
"07/08/2025";"24525688000191";SOL DO FUTURO II;https://www.engie.com.br/atividades/comercializacao-de-energia/
"07/08/2025";"31321803000171";LAR DO SOL I;https://www.engie.com.br/atividades/comercializacao-de-energia/
"01/12/2023";"18747456000185";GASCOM;https://cmuenergia.com.br/
"17/11/2023";"21013993000106";SAO CLEMENTE V;https://www.echoenergia.com.br/monitoramento-prudencial-rs567
"22/11/2024";"39334976000136";EGP AROEIRA 04;https://enelcomercializadora.com.br/pt/quem-somos
"19/11/2024";"35806317000102";TUCANO F2 GERACAO;https://www.aurenenergia.com.br/
"22/11/2024";"39364731000151";EGP AROEIRA 03;https://enelcomercializadora.com.br/pt/quem-somos
"22/11/2024";"21619094000151";ENEL NORTE SOLAR;https://enelcomercializadora.com.br/pt/quem-somos
"17/11/2023";"43308969000137";VITOL POWER;https://www.vitol.com/vitol-power-brasil-documents/
"17/11/2023";"35842703000141";ACAUÃ I;https://ri.aliancaenergia.com.br/alianca/monitoramento-prudencial-ccee/
"17/11/2023";"42495343000114";VENTOS DE SAO GALDINO;https://casadosventos.com.br/monitoramento-prudencial
"02/12/2024";"02808498000149";CGH D MIRIAN I5;https://partnerenergy.com.br/gestao-de-usinas-e-geradores/
"17/11/2023";"35865649000150";VENTOS DE SAO LUCIO I;https://casadosventos.com.br/monitoramento-prudencial
"22/11/2024";"07282383000187";QUATIARA ENERG;https://enelcomercializadora.com.br/pt/quem-somos
